する,す[る-
作成する,さ[くせいする-
錯覚する,さ[っかくする-
撮影する,さ[つえいする-
殺害する,さ[つがいする-
参観する,さ[んかんする-
賛成する,さ[んせいする-
在住する,ざ[いじゅうする-
残業する,ざ[んぎょうする-
下取する,し[たどりする-
失脚する,し[っきゃくする-
執行する,し[っこうする-
失敗する,し[っぱいする-
執筆する,し[っぴつする-
失業する,し[つぎょうする-
失望する,し[つぼうする-
質問する,し[つもんする-
失恋する,し[つれんする-
釈放する,しゃ[くほうする-
集金する,しゅ[うきんする-
集計する,しゅ[うけいする-
収集する,しゅ[うしゅうする-
就職する,しゅ[うしょくする-
修飾する,しゅ[うしょくする-
修正する,しゅ[うせいする-
修繕する,しゅ[うぜんする-
執着する,しゅ[うちゃくする-
集中する,しゅ[うちゅうする-
就任する,しゅ[うにんする-
修復する,しゅ[うふくする-
収容する,しゅ[うようする-
修了する,しゅ[うりょうする-
終了する,しゅ[うりょうする-
縮小する,しゅ[くしょうする-
宿泊する,しゅ[くはくする-
出勤する,しゅ[っきんする-
出血する,しゅ[っけつする-
出産する,しゅ[っさんする-
出席する,しゅ[っせきする-
出張する,しゅ[っちょうする-
出店する,しゅ[ってんする-
出発する,しゅ[っぱつする-
出版する,しゅ[っぱんする-
出品する,しゅ[っぴんする-
出演する,しゅ[つえんする-
出現する,しゅ[つげんする-
出場する,しゅ[つじょうする-
出題する,しゅ[つだいする-
出動する,しゅ[つどうする-
紹介する,しょ[うかいする-
照合する,しょ[うごうする-
賞賛する,しょ[うさんする-
昇進する,しょ[うしんする-
象徴する,しょ[うちょうする-
衝突する,しょ[うとつする-
消毒する,しょ[うどくする-
承認する,しょ[うにんする-
証明する,しょ[うめいする-
消耗する,しょ[うもうする-
省略する,しょ[うりゃくする-
奨励する,しょ[うれいする-
侵害する,し[んがいする-
進学する,し[んがくする-
信仰する,し[んこうする-
進行する,し[んこうする-
新設する,し[んせつする-
診断する,し[んだんする-
進展する,し[んてんする-
浸透する,し[んとうする-
振動する,し[んどうする-
侵入する,し[んにゅうする-
信任する,し[んにんする-
心配する,し[んぱいする-
信用する,し[んようする-
信頼する,し[んらいする-
侵略する,し[んりゃくする-
実感する,じ[っかんする-
実験する,じ[っけんする-
実行する,じ[っこうする-
実習する,じ[っしゅうする-
実証する,じ[っしょうする-
実践する,じ[っせんする-
実現する,じ[つげんする-
実用する,じ[つようする-
自動化する,じ[どうかする-
従業する,じゅ[うぎょうする-
充実する,じゅ[うじつする-
渋滞する,じゅ[うたいする-
重複する,じゅ[うふくする-
熟成する,じゅ[くせいする-
熟練する,じゅ[くれんする-
巡回する,じゅ[んかいする-
循環する,じゅ[んかんする-
上演する,じょ[うえんする-
上京する,じょ[うきょうする-
上達する,じょ[うたつする-
蒸発する,じょ[うはつする-
上陸する,じょ[うりくする-
蒸留する,じょ[うりゅうする-
推進する,す[いしんする-
推薦する,す[いせんする-
推測する,す[いそくする-
推定する,す[いていする-
推論する,す[いろんする-
生活する,せ[いかつする-
請求する,せ[いきゅうする-
成功する,せ[いこうする-
制作する,せ[いさくする-
生産する,せ[いさんする-
成熟する,せ[いじゅくする-
清掃する,せ[いそうする-
生息する,せ[いそくする-
製造する,せ[いぞうする-
生存する,せ[いぞんする-
成長する,せ[いちょうする-
制定する,せ[いていする-
征服する,せ[いふくする-
成立する,せ[いりつする-
整列する,せ[いれつする-
接近する,せ[っきんする-
設計する,せ[っけいする-
接触する,せ[っしょくする-
設定する,せ[っていする-
説得する,せ[っとくする-
接続する,せ[つぞくする-
説明する,せ[つめいする-
節約する,せ[つやくする-
設立する,せ[つりつする-
先行する,せ[んこうする-
選考する,せ[んこうする-
専攻する,せ[んこうする-
宣告する,せ[んこくする-
専制する,せ[んせいする-
戦争する,せ[んそうする-
選択する,せ[んたくする-
洗濯する,せ[んたくする-
戦闘する,せ[んとうする-
潜入する,せ[んにゅうする-
専念する,せ[んねんする-
潜伏する,せ[んぷくする-
洗面する,せ[んめんする-
占領する,せ[んりょうする-
洗練する,せ[んれんする-
絶交する,ぜ[っこうする-
絶望する,ぜ[つぼうする-
絶滅する,ぜ[つめつする-
前進する,ぜ[んしんする-
送金する,そ[うきんする-
走行する,そ[うこうする-
捜索する,そ[うさくする-
創作する,そ[うさくする-
装飾する,そ[うしょくする-
送信する,そ[うしんする-
操縦する,そ[うじゅうする-
創造する,そ[うぞうする-
想像する,そ[うぞうする-
